MAIN_ID RA DEC TYPED_ID Diameter_diameter Diameter_Q Diameter_unit Diameter_error Diameter_filter Diameter_method Diameter_bibcode FLUX_V PLX_VALUE SCRIPT_NUMBER_ID
"* p Vir" "13 54 42.1451" "-01 30 11.241" "" "" "" "" "" "" "" "" 5.158999919891357 13.001 0
"HD   5015" "00 53 04.1964" "+61 07 26.299" "" "" "" "" "" "" "" "" 4.800000190734863 52.902 0
"* eps02 Lyr" "18 44 22.7805" "+39 36 45.785" "" "" "" "" "" "" "" "" 5.230000019073486 20.970 0
"*   3 Vul" "19 22 50.8855" "+26 15 44.667" "" "" "" "" "" "" "" "" 5.191999912261963 8.907 0
"*  77 Cyg" "21 42 22.9588" "+41 04 37.273" "" "" "" "" "" "" "" "" 5.72599983215332 7.910 0
"HD  83380" "09 37 09.8930" "-32 10 43.237" "" "" "" "" "" "" "" "" 5.630000114440918 10.455 0
"* nu. Sco" "16 11 59.7356" "-19 27 38.536" "" "" "" "" "" "" "" "" 4.0 6.880 0
"HD 179433" "19 14 39.5609" "-45 11 36.698" "" "" "" "" "" "" "" "" 5.908999919891357 9.906 0
"* pi.02 UMa" "08 40 12.8171" "+64 19 40.570" "" 13600000.00 "" km 376000.00 BV BrighCol 2013A&A...554A..84M 4.610000133514404 13.204 0
"* tet Cen" "14 06 40.9475" "-36 22 11.837" "" "" "" "" "" "" "" "" 2.049999952316284 55.450 0
"HD  15524" "02 30 32.3533" "+25 14 06.102" "" "" "" "" "" "" "" "" 5.879000186920166 18.302 0
"* del Cap" "21 47 02.4442" "-16 07 38.233" "" "" "" "" "" "" "" "" 2.8299999237060547 84.270 0
"HD  36874" "05 33 07.3874" "-35 08 21.747" "" 13800000.00 "" km "" "" "" 2011A&A...536A..71J 5.757999897003174 11.213 0
"* n Vel" "08 41 13.1290" "-47 19 01.669" "" "" "" "" "" "" "" "" 4.769999980926514 1.411 0
"*  51 Aql" "19 50 46.7838" "-10 45 48.633" "" "" "" "" "" "" "" "" 5.389999866485596 36.418 0
"* eps Oct" "22 20 01.6796" "-80 26 23.094" "" "" "" "" "" "" "" "" 5.177000045776367 11.220 0
"HD 135345" "15 16 04.0190" "-41 29 28.196" "" "" "" "" "" "" "" "" 5.171000003814697 0.297 0
"HD 151203" "16 45 22.5176" "+15 44 43.011" "" "" "" "" "" "" "" "" 5.61899995803833 5.803 0
"*  79 Cyg" "21 43 25.6523" "+38 17 00.927" "" "" "" "" "" "" "" "" 5.695000171661377 11.714 0
"* eta Lup" "16 00 07.3278" "-38 23 48.151" "" "" "" "" "" "" "" "" 3.4100000858306885 7.380 0
"* f Oph" "17 34 36.6947" "+09 35 12.106" "" "" "" "" "" "" "" "" 5.809999942779541 8.675 0
"HD  13336" "02 09 09.2923" "-43 30 59.742" "" "" "" "" "" "" "" "" 5.829999923706055 5.906 0
"HD 147225" "16 22 29.0674" "-43 54 43.398" "" "" "" "" "" "" "" "" 5.914999961853027 3.532 0
"*   5 Cnc" "08 01 30.2883" "+16 27 19.119" "" "" "" "" "" "" "" "" 5.989999771118164 6.586 0
"HD  25165" "03 59 30.1324" "-12 34 27.928" "" "" "" "" "" "" "" "" 5.589000225067139 4.957 0
"HD 220369" "23 22 32.5327" "+60 08 00.552" "" "" "" "" "" "" "" "" 5.513000011444092 2.157 0
"HD  79846" "09 14 17.9904" "-55 34 10.667" "" "" "" "" "" "" "" "" 5.254000186920166 5.471 0
"*  75 Cyg" "21 40 11.1100" "+43 16 25.815" "" "" "" "" "" "" "" "" 5.085999965667725 7.340 0
"*  66 Aur" "07 24 08.4675" "+40 40 20.599" "" "" "" "" "" "" "" "" 5.188000202178955 3.217 0
"* zet Hyi" "02 45 32.6343" "-67 36 59.820" "" "" "" "" "" "" "" "" 4.820000171661377 11.052 0
"* gam CMi" "07 28 09.7942" "+08 55 31.888" "" "" "" "" "" "" "" "" 4.300000190734863 3.134 0
"* M Car" "10 13 30.6323" "-66 22 22.120" "" "" "" "" "" "" "" "" 5.140999794006348 10.352 0
"* gam Sct" "18 29 11.8538" "-14 33 56.931" "" "" "" "" "" "" "" "" 4.675000190734863 10.210 0
"* L01 Pup" "07 13 13.3506" "-45 10 57.855" "" "" "" "" "" "" "" "" 4.874000072479248 17.362 0
"*  53 Tau" "04 19 26.0975" "+21 08 32.298" "" "" "" "" "" "" "" "" 5.48199987411499 11.930 0
"* ome Sco" "16 06 48.4269" "-20 40 09.090" "" "" "" "" "" "" "" "" 3.9700000286102295 6.920 0
"* eta Oph B" "17 10 22.6368" "-15 43 30.655" "" "" "" "" "" "" "" "" 3.259999990463257 "" 0
"* g Cen" "13 49 26.7217" "-34 27 02.792" "" "" "" "" "" "" "" "" 4.190000057220459 17.820 0
"HD 159358" "17 34 46.3515" "-11 14 31.194" "" "" "" "" "" "" "" "" 5.534999847412109 8.780 0
"V* CO UMa" "11 09 19.0795" "+36 18 33.766" "" "" "" "" "" "" "" "" 5.739999771118164 7.598 0
"* eta02 Pic" "05 04 58.0142" "-49 34 40.202" "" "" "" "" "" "" "" "" 5.010000228881836 7.327 0
"*  10 Boo" "13 58 38.9229" "+21 41 46.319" "" "" "" "" "" "" "" "" 5.748000144958496 5.926 0
"V* T Vul" "20 51 28.2383" "+28 15 01.819" "" "" "" "" "" "" "" "" 5.769999980926514 1.688 0
"HD 175535" "18 53 13.5509" "+50 42 29.594" "" "" "" "" "" "" "" "" 4.920000076293945 11.197 0
"*   3 Sco" "15 54 39.5296" "-25 14 37.459" "" 3520000.00 "" km "" V Interfer 2014MNRAS.443.1629S 5.869999885559082 6.933 0
"*   7 Aqr" "20 56 54.0265" "-09 41 51.150" "" "" "" "" "" "" "" "" 5.480000019073486 5.032 0
"* i Car" "09 11 16.7208" "-62 19 01.129" "" "" "" "" "" "" "" "" 3.943000078201294 6.010 0
"* alf Dor" "04 33 59.7771" "-55 02 41.924" "" "" "" "" "" "" "" "" 3.2799999713897705 19.340 0
"* eps Mon" "06 23 46.2" "+04 35 44" "" "" "" "" "" "" "" "" 4.309999942779541 "" 0
"HD  72227" "08 30 28.6109" "-32 09 33.418" "" "" "" "" "" "" "" "" 5.5879998207092285 3.002 0
"HR  2388" "06 31 13.0934" "-35 15 31.886" "" "" "" "" "" "" "" "" 5.820000171661377 4.591 0
"HD  13522" "02 12 37.5398" "+24 10 04.010" "" "" "" "" "" "" "" "" 5.949999809265137 5.775 0
"* 101 Her" "18 08 52.8638" "+20 02 42.838" "" "" "" "" "" "" "" "" 5.098999977111816 9.549 0
"*  14 Psc" "23 34 09.0149" "-01 14 51.220" "" "" "" "" "" "" "" "" 5.869999885559082 14.536 0
"HD  10307" "01 41 47.1268" "+42 36 48.221" "" "" "" "" "" "" "" "" 4.960000038146973 68.024 0
"*  63 Sgr" "20 01 58.5993" "-13 38 13.975" "" "" "" "" "" "" "" "" 5.690000057220459 10.989 0
"* b Dra A" "18 23 54.6068" "+58 48 02.655" "" "" "" "" "" "" "" "" 5.050000190734863 17.162 0
"HD 107295" "12 20 10.7676" "-22 10 32.518" "" "" "" "" "" "" "" "" 5.96999979019165 8.450 0
"* nu. Eri" "04 36 19.1414" "-03 21 08.856" "" "" "" "" "" "" "" "" 3.927999973297119 4.830 0
"* iot Tri A" "02 12 22.2796" "+30 18 11.053" "" "" "" "" "" "" "" "" 5.1620001792907715 11.301 0
"* L Vel" "09 34 08.7932" "-51 15 18.953" "" "" "" "" "" "" "" "" 5.03000020980835 3.610 0
"V* FF Aql" "18 58 14.7483" "+17 21 39.297" "" "" "" "" "" "" "" "" 5.380000114440918 1.906 0
"HD 128974" "14 41 01.3897" "-36 08 05.492" "" "" "" "" "" "" "" "" 5.6579999923706055 4.767 0
"* ksi Cyg" "21 04 55.8622" "+43 55 40.264" "" "" "" "" "" "" "" "" 3.7300000190734863 3.870 0
"HD 168592" "18 22 18.5733" "-38 39 24.826" "" "" "" "" "" "" "" "" 5.072999954223633 6.718 0
"*  17 Cam" "05 30 10.2032" "+63 04 01.989" "" "" "" "" "" "" "" "" 5.4070000648498535 3.042 0
"HD 154733" "17 06 18.0468" "+22 05 02.953" "" "" "" "" "" "" "" "" 5.565000057220459 9.286 0
"HD  18885" "03 01 56.1190" "-09 57 41.053" "" "" "" "" "" "" "" "" 5.836999893188477 9.627 0
"HD 114533" "13 14 17.3297" "-78 26 50.836" "" "" "" "" "" "" "" "" 5.839000225067139 1.553 0
"*   8 PsA" "21 36 10.9737" "-26 10 17.456" "" "" "" "" "" "" "" "" 5.724999904632568 18.298 0
"*  53 Dra" "19 11 40.5809" "+56 51 33.139" "" "" "" "" "" "" "" "" 5.125 8.941 0
"*  56 Tau" "04 19 36.7048" "+21 46 24.566" "" 3270000.00 "" km "" V Interfer 2014MNRAS.443.1629S 5.3460001945495605 11.402 0
"* tet Aur" "05 59 43.2701" "+37 12 45.304" "" 6370000.00 "" km "" V Interfer 2014MNRAS.443.1629S 2.619999885559082 19.700 0
"* k Car" "09 20 56.8130" "-62 24 16.681" "" "" "" "" "" "" "" "" 4.800000190734863 14.517 0
"HD 142165" "15 53 53.9142" "-24 31 59.373" "" "" "" "" "" "" "" "" 5.372000217437744 7.278 0
"* n Tau" "05 19 16.6061" "+22 05 47.421" "" "" "" "" "" "" "" "" 4.947999954223633 14.011 0
"V* FW Vir" "12 38 22.4057" "+01 51 16.779" "" "" "" "" "" "" "" "" 5.710000038146973 5.644 0
"* eta CMa" "07 24 05.7022" "-29 18 11.179" "" "" "" "" "" "" "" "" 2.450000047683716 1.640 0
"* e01 Sgr" "19 40 43.3830" "-16 17 35.774" "" "" "" "" "" "" "" "" 5.296000003814697 12.992 0
"HD  15920" "02 38 02.0331" "+72 49 05.710" "" "" "" "" "" "" "" "" 5.165999889373779 12.134 0
"HD  77475" "09 01 20.8651" "-41 51 51.334" "" "" "" "" "" "" "" "" 5.540999889373779 6.605 0
"* alf Psc A" "02 02 02.8219" "+02 45 49.579" "" 2880000.00 "" km "" V Interfer 2014MNRAS.443.1629S 4.110000133514404 19.799 0
"* eta Ant" "09 58 52.2754" "-35 53 27.502" "" "" "" "" "" "" "" "" 5.2220001220703125 30.050 0
"HD  49878" "07 00 04.0371" "+76 58 38.671" "" "" "" "" "" "" "" "" 4.539999961853027 17.075 0
"* iot Boo" "14 16 09.9297" "+51 22 02.028" "" "" "" "" "" "" "" "" 4.75 33.886 0
"* tet Lup" "16 06 35.5439" "-36 48 08.173" "" "" "" "" "" "" "" "" 4.201000213623047 7.369 0
"*  31 Cas" "01 10 39.3224" "+68 46 43.041" "" "" "" "" "" "" "" "" 5.309000015258789 10.680 0
"* iot Tuc" "01 07 18.6643" "-61 46 31.038" "" "" "" "" "" "" "" "" 5.3420000076293945 10.666 0
"* R Aps" "14 57 52.9835" "-76 39 45.556" "" "" "" "" "" "" "" "" 5.359000205993652 7.888 0
"HD  20809" "03 23 13.1970" "+49 12 47.774" "" "" "" "" "" "" "" "" 5.300000190734863 5.682 0
"HD  58612" "07 25 25.2677" "-25 13 03.954" "" "" "" "" "" "" "" "" 5.7820000648498535 2.233 0
"HD  10390" "01 42 03.4896" "+35 14 44.538" "" "" "" "" "" "" "" "" 5.639999866485596 11.188 0
"*   6 Dra" "12 34 44.0192" "+70 01 18.405" "" "" "" "" "" "" "" "" 4.946000099182129 6.616 0
"HD 200253" "21 01 12.8647" "+36 01 33.642" "" "" "" "" "" "" "" "" 5.997000217437744 5.387 0
"V* V416 Lac" "22 38 37.9233" "+56 47 44.277" "" "" "" "" "" "" "" "" 5.166999816894531 7.223 0
"HD 200073" "21 02 27.1654" "-38 31 51.490" "" 9980000.00 "" km "" "" "" 2011A&A...536A..71J 5.940000057220459 14.358 0
"HD  84117" "09 42 14.4162" "-23 54 56.042" "" "" "" "" "" "" "" "" 4.940000057220459 66.883 0
"* c Per" "04 08 39.6921" "+47 42 45.042" "" "" "" "" "" "" "" "" 4.03000020980835 6.840 0
